nameWithOwner,url,createdAt,updatedAt,repo_age_days,last_update_days_ago,primaryLanguage,issues_total,closed_issues_total,closed_issues_ratio,merged_pull_requests,releases_total,stargazers,forks
preactjs/preact,https://github.com/preactjs/preact,2015-09-11T02:40:18Z,2026-02-27T14:14:53Z,3822,0,JavaScript,1928,1868,0.9688796680497925,1992,240,38425,2027
bmad-code-org/BMAD-METHOD,https://github.com/bmad-code-org/BMAD-METHOD,2025-04-13T14:54:25Z,2026-02-27T22:24:52Z,320,0,JavaScript,794,735,0.9256926952141058,367,23,38338,4743
google/googletest,https://github.com/google/googletest,2015-07-28T15:07:53Z,2026-02-27T21:47:53Z,3867,0,C++,2362,1989,0.8420829805249789,813,11,38276,10702
gto76/python-cheatsheet,https://github.com/gto76/python-cheatsheet,2018-01-25T04:16:53Z,2026-02-27T17:44:35Z,2955,0,Python,27,27,1.0,0,0,38253,6731
agno-agi/agno,https://github.com/agno-agi/agno,2022-05-04T15:23:02Z,2026-02-27T21:56:54Z,1395,0,Python,1956,1678,0.8578732106339468,2867,170,38247,5067
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,2026-02-27T20:06:49Z,4326,0,Java,4965,2898,0.5836858006042296,191,44,38225,9055
PatrickJS/awesome-cursorrules,https://github.com/PatrickJS/awesome-cursorrules,2024-09-16T15:38:38Z,2026-02-27T22:02:40Z,529,0,MDX,51,8,0.1568627450980392,70,0,38124,3220
remotion-dev/remotion,https://github.com/remotion-dev/remotion,2020-06-23T19:49:10Z,2026-02-27T21:48:37Z,2075,0,TypeScript,2187,2112,0.9657064471879286,4143,591,38117,2355
lapce/lapce,https://github.com/lapce/lapce,2018-02-06T08:41:06Z,2026-02-27T22:22:07Z,2943,0,Rust,2010,1200,0.5970149253731343,1177,35,38105,1237
istio/istio,https://github.com/istio/istio,2016-11-18T23:57:21Z,2026-02-27T22:12:35Z,3387,0,Go,21687,21267,0.9806335592751418,29421,423,38053,8250
halo-dev/halo,https://github.com/halo-dev/halo,2018-03-21T12:56:52Z,2026-02-27T14:15:02Z,2900,0,Java,4574,4340,0.9488412767818102,2942,249,38007,10218
Kong/insomnia,https://github.com/Kong/insomnia,2016-04-23T03:54:26Z,2026-02-27T21:18:44Z,3597,0,TypeScript,3974,3251,0.8180674383492702,3739,546,37973,2218
ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,2017-08-25T10:40:44Z,2026-02-27T21:54:42Z,3108,0,TypeScript,9798,9625,0.9823433353745662,1025,26,37963,8239
microsoft/qlib,https://github.com/microsoft/qlib,2020-08-14T06:46:00Z,2026-02-27T19:31:14Z,2023,0,Python,1041,762,0.7319884726224783,750,23,37950,5890
naptha/tesseract.js,https://github.com/naptha/tesseract.js,2015-06-24T02:49:52Z,2026-02-27T14:23:05Z,3901,0,JavaScript,734,703,0.9577656675749319,204,57,37876,2360
dotnet/aspnetcore,https://github.com/dotnet/aspnetcore,2014-03-11T06:09:42Z,2026-02-27T20:38:50Z,4371,0,C#,38615,35083,0.9085329535154733,18558,275,37745,10595
denysdovhan/wtfjs,https://github.com/denysdovhan/wtfjs,2017-07-14T15:42:12Z,2026-02-27T21:55:34Z,3150,0,JavaScript,118,96,0.8135593220338984,125,25,37730,2690
FreeCodeCampChina/freecodecamp.cn,https://github.com/FreeCodeCampChina/freecodecamp.cn,2016-09-30T03:13:43Z,2026-02-27T09:47:56Z,3437,0,CSS,587,445,0.75809199318569,55,0,37640,1409
httpie/cli,https://github.com/httpie/cli,2012-02-25T12:39:13Z,2026-02-27T20:42:20Z,5116,0,Python,910,723,0.7945054945054945,406,47,37612,3819
rapid7/metasploit-framework,https://github.com/rapid7/metasploit-framework,2011-08-30T06:13:20Z,2026-02-27T21:27:17Z,5295,0,Ruby,6423,5948,0.926047018527168,11650,0,37611,14774
pola-rs/polars,https://github.com/pola-rs/polars,2020-05-13T19:45:33Z,2026-02-27T22:10:46Z,2116,0,Rust,12411,9897,0.7974377568286197,12691,248,37565,2650
huihut/interview,https://github.com/huihut/interview,2018-02-09T09:49:48Z,2026-02-27T11:17:55Z,2940,0,C++,66,65,0.9848484848484849,36,0,37529,8126
ToolJet/ToolJet,https://github.com/ToolJet/ToolJet,2021-03-30T08:51:34Z,2026-02-27T18:38:37Z,1795,0,JavaScript,5146,4536,0.8814613291877186,7693,446,37490,4953
vlang/v,https://github.com/vlang/v,2019-02-08T02:57:06Z,2026-02-27T20:15:59Z,2576,0,V,10265,9146,0.8909887968826108,13063,302,37468,2239
LAION-AI/Open-Assistant,https://github.com/LAION-AI/Open-Assistant,2022-12-13T05:24:17Z,2026-02-27T17:56:35Z,1172,0,Python,1646,1419,0.862089914945322,1616,127,37442,3306
RSSNext/Folo,https://github.com/RSSNext/Folo,2024-04-08T03:23:35Z,2026-02-27T22:01:38Z,690,0,TypeScript,2562,2183,0.8520686963309914,1432,93,37414,1982
TencentARC/GFPGAN,https://github.com/TencentARC/GFPGAN,2021-03-19T06:18:20Z,2026-02-27T22:20:04Z,1806,0,Python,508,135,0.265748031496063,14,8,37381,6278
google-research/google-research,https://github.com/google-research/google-research,2018-10-04T18:42:48Z,2026-02-27T21:38:37Z,2703,0,Jupyter Notebook,1440,348,0.24166666666666667,29,0,37366,8341
eugenp/tutorials,https://github.com/eugenp/tutorials,2013-04-29T18:26:36Z,2026-02-27T21:52:18Z,4687,0,Java,790,773,0.9784810126582278,13711,0,37351,53821
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,2026-02-27T21:10:57Z,3829,0,Java,10097,8770,0.8685748242052095,1793,140,37351,3479
outline/outline,https://github.com/outline/outline,2016-05-22T21:31:47Z,2026-02-27T21:27:58Z,3568,0,TypeScript,3898,3853,0.9884556182657773,4125,157,37345,3091
chatchat-space/Langchain-Chatchat,https://github.com/chatchat-space/Langchain-Chatchat,2023-03-31T12:12:45Z,2026-02-27T17:27:28Z,1064,0,Python,4237,4229,0.9981118716072693,621,31,37342,6149
NervJS/taro,https://github.com/NervJS/taro,2018-04-08T09:32:26Z,2026-02-27T16:09:18Z,2882,0,TypeScript,13085,11468,0.8764233855559801,3462,207,37318,4900
tw93/Mole,https://github.com/tw93/Mole,2025-09-23T06:38:40Z,2026-02-27T21:55:24Z,157,0,Shell,329,325,0.9878419452887538,109,25,37310,1022
CorentinTh/it-tools,https://github.com/CorentinTh/it-tools,2020-04-05T11:50:24Z,2026-02-27T22:15:17Z,2154,0,Vue,669,218,0.32585949177877427,493,10,37268,4641
exacity/deeplearningbook-chinese,https://github.com/exacity/deeplearningbook-chinese,2016-12-07T11:46:51Z,2026-02-27T12:22:17Z,3369,0,TeX,203,139,0.6847290640394089,16,7,37204,9169
0voice/interview_internal_reference,https://github.com/0voice/interview_internal_reference,2019-06-10T06:54:19Z,2026-02-27T12:00:45Z,2454,0,Python,52,19,0.36538461538461536,35,0,37191,9421
kilimchoi/engineering-blogs,https://github.com/kilimchoi/engineering-blogs,2015-06-13T18:25:17Z,2026-02-27T16:00:41Z,3912,0,Ruby,97,75,0.7731958762886598,681,0,37182,1950
BerriAI/litellm,https://github.com/BerriAI/litellm,2023-07-27T00:09:52Z,2026-02-27T22:11:58Z,946,0,Python,9180,8337,0.9081699346405229,9462,1000,37172,6021
spacedriveapp/spacedrive,https://github.com/spacedriveapp/spacedrive,2021-09-27T05:09:04Z,2026-02-27T22:01:21Z,1614,0,Rust,530,518,0.9773584905660377,1957,28,37167,1219
